"Product SKU","Product Name","Stock Level"
111LRH300,"SAVAGE 111 LONG RANGE HUNTER 300 WIN AS 26 INCH 3 SHOT - SKU: 111LRH300",0
111LRH338,"SAVAGE 111 LONG RANGE HUNTER 338 LAP 26 INCH BR AS 5 SHOT DM - SKU: 111LRH338",0
111LRH6528,"SAVAGE 111 LONG RANGE HUNTER 6.5-284 NORMA AS 26 INCH 4 SHOT DETACHABLE MAG - SKU: 111LRH6528",0
111LRH7MMR,"SAVAGE 111 LONG RANGE HUNTER 7MM REM AS 26 INCH 3 SHOT DETACHABLE MAG - SKU: 111LRH7MMR",0
111LTH300,"SAVAGE 111 TROPHY HUNTER XP LEFT HAND 300 WIN MAG 24 INCH PACKAGE DETACHABLE MAG - SKU: 111LTH300",0
111LTH3006,"SAVAGE 111 TROPHY HUNTER XP LEFT HAND 30-06 SPR 22 INCH PACKAGE DETACHABLE MAG - SKU: 111LTH3006",0
111LTH7MM,"SAVAGE 111 TROPHY HUNTER XP LEFT HAND 7MM REM MAG 24 INCH PACKAGE DETACHABLE MAG - SKU: 111LTH7MM",0
111LW270,"SAVAGE 111 LIGHTWEIGHT HUNTER 270 WIN 20 INCH DETACHABLE MAG - SKU: 111LW270",0
111TH270,"SAVAGE 111 TROPHY HUNTER XP 270 WIN 22 INCH PACKAGE DETACHABLE MAG - SKU: 111TH270",0
111TH300,"SAVAGE 111 TROPHY HUNTER XP 300 WIN MAG 24 INCH PACKAGE DETACHABLE MAG - SKU: 111TH300",0
111TH3006,"SAVAGE 111 TROPHY HUNTER XP 30-06 SPR 22 INCH PACKAGE DETACHABLE MAG - SKU: 111TH3006",0
111TH7MM,"SAVAGE 111 TROPHY HUNTER XP 7MM REM MAG 24 INCH PACKAGE DETACHABLE MAG - SKU: 111TH7MM",0
112MTR,"SAVAGE 112 MAGNUM TARGET 338 LAP 26 INCH SINGLE SHOT WITH BRAKE - SKU: 112MTR",4
114AC270,"SAVAGE 114 AMERICAN CLASSIC 270 WIN 22 INCH 4 SHOT DETACHABLE MAG - SKU: 114AC270",0
114AC300,"SAVAGE 114 AMERICAN CLASSIC 300 WIN 22 INCH 3 SHOT DETACHABLE MAG - SKU: 114AC300",0
114AC3006,"SAVAGE 114 AMERICAN CLASSIC 30-06 SPR 22 INCH 4 SHOT DETACHABLE MAG - SKU: 114AC3006",0
114AC7MM,"SAVAGE 114 AMERICAN CLASSIC 7MM REM MAG 22 INCH 3 SHOT DETACHABLE MAG - SKU: 114AC7MM",0
116ABH375,"SAVAGE 116 ALASKAN BRUSH HUNTER 375 RUGER 20 INCH - SKU: 116ABH375",0
116BH300,"SAVAGE 116 BEAR HUNTER 300 WIN MAG AS WITH BRAKE 23 INCH HINGED FLOORPLATE - SKU: 116BH300",0
116BH338,"SAVAGE 116 BEAR HUNTER 338 WIN MAG AS WITH BRAKE 23 INCH HINGED FLOORPLATE - SKU: 116BH338",0
116BH375,"SAVAGE 116 BEAR HUNTER 375 RUGER AS WITH BRAKE 23 INCH HINGED FLOORPLATE - SKU: 116BH375",0
116FCSS256,"SAVAGE 116 FCSS WEATHER WARRIOR 25-06 REM AS 22 INCH 4 SHOT DETACHABLE MAG - SKU: 116FCSS256",0
116FCSS270,"SAVAGE 116 FCSS WEATHER WARRIOR 270 WIN AS 22 INCH 4 SHOT DETACHABLE MAG - SKU: 116FCSS270",0
116FCSS300,"SAVAGE 116 FCSS WEATHER WARRIOR 300 WIN MAG AS 24 INCH 3 SHOT DETACHABLE MAG - SKU: 116FCSS300",0
116FCSS306,"SAVAGE 116 FCSS WEATHER WARRIOR 30-06 SPR AS 22 INCH 4 SHOT DETACHABLE MAG - SKU: 116FCSS306",0
116FCSS6.5,"SAVAGE 116 FCSS WEATHER WARRIOR 6.5X284 NORMA AS DETACHABLE MAG - SKU: 116FCSS6.5",0
116FCSS7MM,"SAVAGE 116 FCSS WEATHER WARRIOR 7MM REM MAG AS 24 INCH 3 SHOT DETACHABLE MAG - SKU: 116FCSS7MM",0
116FLCSS270,"SAVAGE 116 FLCSS WEATHER WARRIOR 270 WIN AS LEFT 22 INCH 4 SHOT DETACHABLE MAG - SKU: 116FLCSS270",0
116FLCSS300,"SAVAGE 116 FLCSS WEATHER WARRIOR 300 WIN MAG AS LEFT 24 INCH 3 SHOT DETACHABLE MAG - SKU: 116FLCSS300",0
116FLCSS3006,"SAVAGE 116 FLCSS WEATHER WARRIOR 30-06 AS LEFT 22 INCH 4 SHOT DETACHABLE MAG - SKU: 116FLCSS3006",0
116FLCSS7MM,"SAVAGE 116 FLCSS WEATHER WARRIOR 7MM REM MAG AS LEFT 24 INCH 3 SHOT DETACHABLE MAG - SKU: 116FLCSS7MM",0
116TH270,"SAVAGE 116 TROPHY HUNTER XP 270 WIN 22 INCH STAINLESS PACKAGE DETACHABLE MAG - SKU: 116TH270",0
116TH300,"SAVAGE 116 TROPHY HUNTER XP 300 WIN MAG 24 INCH STAINLESS PACKAGE DETACHABLE MAG - SKU: 116TH300",0
116TH3006,"SAVAGE 116 TROPHY HUNTER XP 30-06 SPR 22 INCH STAINLESS PACKAGE DETACHABLE MAG - SKU: 116TH3006",0
116TH338,"SAVAGE 116 TROPHY HUNTER XP 338 WIN MAG 24 INCH STAINLESS PACKAGE DETACHABLE MAG - SKU: 116TH338",0
116TH7MM,"SAVAGE 116 TROPHY HUNTER XP 7MM REM MAG 24 INCH STAINLESS PACKAGE DETACHABLE MAG - SKU: 116TH7MM",0
11DH243,"SAVAGE 11 DOA HUNTER XP 243 WIN 22 INCH BUSHNELL TROPHY PACKAGE - SKU: 11DH243",0
11DH260,"SAVAGE 11 DOA HUNTER XP 260 REM 22 INCH BUSHNELL TROPHY PACKAGE - SKU: 11DH260",0
11DH270WSM,"SAVAGE 11 DOA HUNTER XP 270 WSM 24 INCH BUSHNELL TROPHY PACKAGE - SKU: 11DH270WSM",0
11DH300WSM,"SAVAGE 11 DOA HUNTER XP 300 WSM 24 INCH BUSHNELL TROPHY PACKAGE - SKU: 11DH300WSM",0
11DH308,"SAVAGE 11 DOA HUNTER XP 308 WIN 22 INCH BUSHNELL TROPHY PACKAGE - SKU: 11DH308",0
11DH338F,"SAVAGE 11 DOA HUNTER XP 338 FED 22 INCH BUSHNELL TROPHY PACKAGE - SKU: 11DH338F",0
11DH65C,"SAVAGE 11 DOA HUNTER XP 6.5 CREED 22 INCH BUSHNELL TROPHY PACKAGE - SKU: 11DH65C",0
11DH708,"SAVAGE 11 DOA HUNTER XP 7MM-08 22 INCH BUSHNELL TROPHY PACKAGE - SKU: 11DH708",0
11FCNS204,"SAVAGE 11 FCNS 204 RUGER AS 22 INCH 4 INCH SHOT DETACHABLE MAG - SKU: 11FCNS204",0
