SKU,Stock_Level,Quantity,Equal
13321,0,63,False
6697-U1,0,1,False
7000410,0,5,False
034337016014,10,1,False
034337016021,0,7,False
034337016120,0,4,False
034337016137,0,12,False
034337016151,0,7,False
034337016182,0,5,False
034337016199,0,0,True
034337016212,3,11,False
034337016229,0,4,False
034337016250,5,5,True
034337016298,3,14,False
7717VHZ,0,-1,False
7722RH,0,18,False
7722VHZ,0,4,False
77357RSP,0,0,True
7744B,0,0,True
7744R,0,7,False
7744RSP,0,3,False
77CRBBZ243,0,2,False
77CRBBZ308,0,8,False
77CRBBZ708,0,2,False
77FTW308,0,45,False
77FTW6.5,0,8,False
77FTWH260,0,5,False
77FTWH300,0,47,False
77FTWH3006,0,0,True
77FTWH65C,0,2,False
77FTWH7RM,0,3,False
77FTWHL300,0,16,False
77GS223B,0,13,False
77GS223S,0,60,False
77GS308B,0,34,False
77GS308BC,0,3,False
77GS308F,0,37,False
77GS308SC,2,-1,False
77GS450B,0,11,False
77LRSB375,0,400,False
77LRSG375,1,214,False
77RSB300,0,425,False
77RSB338,0,74,False
77RSG3006,0,8,False
77RZ204,0,288,False
77RZ22250,0,45,False
77RZ6.5,0,266,False
77VT22250,0,138,False
77VT223,0,0,True
77VT65,0,1,False
93BRJ,0,36,False
93BSEV,0,28,False
93BTVS,1,426,False
93F,0,134,False
93FSS,2,46,False
93FV,0,1101,False
062654932076,0,103,False
93FVSRTL,2,254,False
93FVSS,0,-3,False
93FVSSXP,0,124600,False
93FXP,1,2450,False
93G,1,-200,False
93GL,0,-9200,False
93R17BRJ,0,15100,False
93R17BSEV,0,-80,False
93R17BTV,0,65966,False
93R17BTVLS,0,5250,False
93R17BTVS,0,60,False
93R17BVM,0,9500,False
93R17BVSS,0,-180,False
93R17CAMO,1,210900,False
93R17F,1,8005,False
93R17FSS,1,-40,False
93R17FV,0,18860,False
93R17FVSR,0,3500,False
93R17FVSS,6,0,False
93R17FVSXP,0,11,False
93R17FXP,0,26,False
93R17GLV,1,4,False
93R17GV,9,17,False
93R17GVXP,4,6,False
93R17TR,0,57,False
93R17TRRS,0,10,False
93R17XPBRC,2,65,False
93R17XPSC,0,17,False
9740,0,3,False
A11020,0,60,False
A11020C,26,193,False
A11020S,0,54,False
A110287,0,222,False
A11028C,39,-3,False
A11028S,0,20,False
A110410,242,2,False
A11041028,65,1,False
A110AW,18,-3,False
A110SC,2,-11,False
A110SCRS,3,77,False
A110TAC,0,64,False
A17,0,36,False
A22M,0,41,False
661120505204,0,-1,False
30661120541067,0,3,False
661120504313,0,4,False
30661120510117,0,3,False
30661120509319,0,1,False
AB308100,0,47,False
30661120503317,0,55,False
661120304470,0,3,False
661120507314,0,10,False
50661120125445,0,-12,False
661120508311,0,20,False
50661120194489,0,-6,False
661120501305,0,3,False
30661120883976,0,0,True
661120511311,0,-7,False
661120128748,0,-1,False
AD02S,0,-5,False
AD13ASSY,16,6,False
AD14,0,-3,False
AD15,0,-14,False
AD17,18,0,False
AD18,12,-3,False
AD21,8,0,False
AD21S,0,0,True
AD2621,92,14,False
AD2622,3,-1,False
AD27,65,0,False
AD29,2,0,False
ADCHKEY,0,0,True
9332153001001,0,0,True
9332153001803,219,0,False
AK320,0,0,True
AK320B,5,0,False
AK320C,8,0,False
AK328,10,0,False
AK328B,0,0,True
AK328C,0,0,True
AK81230E,0,0,True
AKK-15,17,0,False
AKK-47,9,0,False
AKK-48,42,0,False
AKK-49,17,0,False
AKK-5,0,0,True
AKK-50,14,0,False
AKK-51,38,0,False
AKK-52,55,0,False
AKK-53,45,0,False
AKK-54,49,0,False
AKK-55,26,64,False
AKK-55FO,10,30,False
AKK-5SC,4,13,False
AKK-5SS,0,3,False
AKK-5TC,2,5,False
AKK-5TS,0,20,False
